"","Date","Prefecture","relative.humidity","wind.speed","tavg","PM25","PM10","cases"
"2546",2025-03-09,"Miyagi",64.14285714,3.828571429,3.571428571,9.729088214,14.67140389,38
"2547",2025-03-16,"Miyagi",58.85714286,3.928571429,7.857142857,16.84129033,24.68915141,64
"2548",2025-03-23,"Miyagi",56,4.042857143,8.071428571,18.8721463,27.14369095,50
"2549",2025-03-30,"Miyagi",60.28571429,3.714285714,10.48571429,21.80221856,30.11377157,41
"2550",2025-04-06,"Miyagi",75.57142857,3.214285714,7.128571429,12.23031097,17.94148784,50
"2551",2025-04-13,"Miyagi",73.28571429,2.857142857,11.54285714,21.36767554,28.89540816,28
"2552",2025-04-20,"Miyagi",70.28571429,2.857142857,13.77142857,19.86938423,27.77269602,24
"2553",2025-04-27,"Miyagi",62.71428571,3.557142857,14.05714286,18.29702972,25.78185344,30
"2554",2025-05-04,"Miyagi",67.14285714,3.742857143,13.92857143,20.30375391,29.09637274,21
"2555",2025-05-11,"Miyagi",69,3.785714286,15.02857143,18.5181979,25.49512207,11
"2556",2025-05-18,"Miyagi",82.42857143,2.685714286,17.5,18.82435861,25.28676888,13
"2557",2025-05-25,"Miyagi",75.71428571,2.828571429,16.81428571,18.93386403,25.90444662,22
"2558",2025-06-01,"Miyagi",75.85714286,3.457142857,16.15714286,14.96500759,21.25834643,13
"2559",2025-06-08,"Miyagi",68.57142857,2.557142857,20.48571429,19.74335196,27.58556821,17
"2560",2025-06-15,"Miyagi",80,2.7,20.88571429,15.69427077,22.03846444,15
"2561",2025-06-22,"Miyagi",74.71428571,2.585714286,25.52857143,14.75304709,20.35056008,15
"2562",2025-06-29,"Miyagi",79.71428571,2.6,24.84285714,10.72698346,15.05921584,24
"2563",2025-07-06,"Miyagi",74.42857143,1.971428571,27.62857143,16.10792984,22.49840813,30
"2564",2025-07-13,"Miyagi",77.85714286,2.385714286,24.75714286,12.99576597,18.45759877,36
"2565",2025-07-20,"Miyagi",82.14285714,3.085714286,25.88571429,10.82392015,17.02404813,32
"2566",2025-07-27,"Miyagi",68.42857143,2.314285714,29.85714286,9.614569818,13.74483939,37
"2567",2025-08-03,"Miyagi",77.57142857,2.9,27.94285714,6.893933158,10.06906036,47
"2568",2025-08-10,"Miyagi",79,2.671428571,27.12857143,12.31266348,17.50473503,53
"2569",2025-08-17,"Miyagi",78.71428571,2.514285714,26.57142857,8.799253913,12.54377958,39
"2570",2025-08-24,"Miyagi",67.42857143,2.585714286,29.31428571,12.51322159,17.66824238,52
"2571",2025-08-31,"Miyagi",76.57142857,2.7,27.21428571,11.3298962,16.08465652,46
"2572",2025-09-07,"Miyagi",78.42857143,2.857142857,26.4,7.524348824,9.247424041,57
"2573",2025-09-14,"Miyagi",86,2.514285714,24.37142857,4.929413416,6.704477743,48
"2574",2025-09-21,"Miyagi",76.85714286,2.857142857,23.44285714,6.049250752,7.867698455,42
"2575",2025-09-28,"Miyagi",68,2.771428571,21.47142857,4.937707355,7.572045578,36
"2576",2025-10-05,"Miyagi",76.57142857,2.571428571,21.27142857,6.83687674,9.21210021,15
"2577",2025-10-12,"Miyagi",75.57142857,2.8,17.95714286,5.665365199,7.916465252,15
"2578",2025-10-19,"Miyagi",77,3.228571429,17.08571429,6.455541608,9.871569179,18
"2579",2025-10-26,"Miyagi",73.57142857,2.885714286,12.81428571,5.537046731,7.041240198,17
"2580",2025-11-02,"Miyagi",66.71428571,3.2,13.32857143,7.27006799,8.919072608,24
"2581",2025-11-09,"Miyagi",65.28571429,2.628571429,11.57142857,8.262868514,10.64641411,16
"2582",2025-11-16,"Miyagi",60.57142857,3.414285714,10.34285714,5.39368325,7.565183402,6
"2583",2025-11-23,"Miyagi",67.57142857,2.785714286,8.214285714,5.168165678,6.789146756,6
"2584",2025-11-30,"Miyagi",69.28571429,2.728571429,10.07142857,5.398815067,6.507893212,3
"2585",2025-12-07,"Miyagi",69.28571429,2.757142857,7.214285714,5.496277761,7.66778667,7
"2586",2025-12-14,"Miyagi",69.42857143,3.685714286,4.9,4.054156805,5.524284369,8
"2587",2025-12-21,"Miyagi",69.28571429,3.142857143,7.342857143,5.706236978,7.032512013,8
"2588",2025-12-28,"Miyagi",71.57142857,3.257142857,3.842857143,5.614077414,7.192211707,12
"2589",2026-01-04,"Miyagi",70.66666667,2.533333333,4.166666667,3.160474808,4.146207947,6
"2590",2026-01-11,"Miyagi",66,3.128571429,2.857142857,4.246818825,5.739769665,12
"2591",2026-01-18,"Miyagi",64.85714286,4.2,3.671428571,4.843550484,6.921563702,17
"2592",2026-01-25,"Miyagi",65.71428571,3.271428571,-0.2,5.16375356,7.563819326,27
"2593",2024-01-07,"Miyazaki",67.71428571,3.328571429,9.328571429,11.82110735,16.76151456,2
"2594",2024-01-14,"Miyazaki",66.71428571,3.128571429,8.957142857,10.86889716,15.29489647,4
"2595",2024-01-21,"Miyazaki",76.71428571,2.671428571,12.18571429,8.120524916,12.04308579,1
"2596",2024-01-28,"Miyazaki",53.71428571,4.828571429,6.657142857,8.004571935,11.62101242,3
"2597",2024-02-04,"Miyazaki",85.28571429,1.857142857,10.62857143,11.99464553,17.08292385,1
"2598",2024-02-11,"Miyazaki",64.42857143,3.542857143,10.65714286,18.39671041,26.00517214,1
"2599",2024-02-18,"Miyazaki",73,2.785714286,12.68571429,12.34543444,17.67500189,1
"2600",2024-02-25,"Miyazaki",85.71428571,2.557142857,14.81428571,9.82174066,14.40315463,2
"2601",2024-03-03,"Miyazaki",61.85714286,3.685714286,9.657142857,12.94441715,18.66127081,5
"2602",2024-03-10,"Miyazaki",68.57142857,2.728571429,10.85714286,18.01436277,25.73394974,6
"2603",2024-03-17,"Miyazaki",67,3.214285714,12.95714286,21.02360764,29.67155193,5
"2604",2024-03-24,"Miyazaki",72.28571429,3.157142857,12.65714286,18.30650096,25.71061464,6
"2605",2024-03-31,"Miyazaki",69,4.071428571,17.64285714,16.07706872,23.20124151,6
"2606",2024-04-07,"Miyazaki",85.42857143,2.857142857,17.85714286,14.18808488,20.09925549,21
"2607",2024-04-14,"Miyazaki",79.42857143,2.957142857,16.92857143,15.39654522,22.39129593,64
"2608",2024-04-21,"Miyazaki",83.28571429,2.4,18.84285714,25.67045678,33.67542664,51
"2609",2024-04-28,"Miyazaki",87.14285714,2.157142857,19.65714286,17.32626675,23.54666435,37
"2610",2024-05-05,"Miyazaki",82.57142857,2.928571429,20.21428571,15.24193333,21.70075887,38
"2611",2024-05-12,"Miyazaki",76.57142857,3.114285714,19.28571429,15.04579209,21.5419992,42
"2612",2024-05-19,"Miyazaki",67.57142857,3.585714286,19.5,15.52393238,21.79630274,58
"2613",2024-05-26,"Miyazaki",81.14285714,2.571428571,21.24285714,19.83047855,27.53366379,87
"2614",2024-06-02,"Miyazaki",79.14285714,2.614285714,21.58571429,16.67779861,23.37198654,111
"2615",2024-06-09,"Miyazaki",80.14285714,2.657142857,21.31428571,11.70120505,16.73118372,116
"2616",2024-06-16,"Miyazaki",82.57142857,2.771428571,23.98571429,11.22551905,15.94654402,114
"2617",2024-06-23,"Miyazaki",85.85714286,3.028571429,24.48571429,13.15410206,18.93198363,157
"2618",2024-06-30,"Miyazaki",87.42857143,2.7,25.45714286,11.04571601,15.93072065,166
"2619",2024-07-07,"Miyazaki",68.14285714,4.942857143,30.7,7.89492023,11.72041113,242
"2620",2024-07-14,"Miyazaki",79.85714286,3.357142857,27.97142857,8.662539288,12.95368673,254
"2621",2024-07-21,"Miyazaki",76.42857143,2.942857143,29.18571429,9.018965006,13.02037768,169
"2622",2024-07-28,"Miyazaki",79.71428571,2.528571429,29.64285714,8.914805412,13.14105231,182
"2623",2024-08-04,"Miyazaki",73,2.871428571,30.34285714,9.724841732,13.80676624,193
"2624",2024-08-11,"Miyazaki",75.42857143,2.871428571,29.88571429,15.97565595,22.42670936,117
"2625",2024-08-18,"Miyazaki",74.42857143,2.871428571,29.74285714,14.65920116,20.6153285,36
"2626",2024-08-25,"Miyazaki",82.42857143,2.685714286,28.92857143,6.92345273,10.29389995,19
"2627",2024-09-01,"Miyazaki",82.14285714,5.785714286,27.97142857,12.58857891,21.33725545,32
"2628",2024-09-08,"Miyazaki",80.28571429,2.557142857,27.07142857,13.90639976,19.58240849,16
"2629",2024-09-15,"Miyazaki",86.71428571,3.771428571,27.92857143,7.665633295,11.85983507,13
"2630",2024-09-22,"Miyazaki",84.57142857,3.128571429,28.35714286,7.220659058,11.32271176,4
"2631",2024-09-29,"Miyazaki",79.71428571,3.142857143,25.24285714,11.59943981,17.71294197,7
"2632",2024-10-06,"Miyazaki",87.57142857,2.214285714,24.08571429,9.607229237,13.82496475,6
