Prefecture,mean,std
Aichi,32.83591942129464,20.94366912588153
Akita,4.1398652630699635,3.0122845462651173
Aomori,5.238062833934236,3.4507535781292664
Chiba,17.029811329430558,11.868060290072767
Ehime,13.7955847265537,19.302391285678333
Fukui,12.932521876238148,9.035619793662711
Fukuoka,47.24040151443509,19.39939718199355
Fukushima,11.82156532372957,10.670672477134888
Gifu,6.092331607610274,5.991567986092788
Gunma,6.8727933916516,7.938512731085173
Hiroshima,11.010962368326428,8.238365204194176
Hokkaido,36.89806328035193,25.735907715013667
Hyogo,33.44900044349444,32.597200650083565
Ibaraki,6.391246883974501,4.935177299701845
Ishikawa,7.349831534857836,5.122495811014768
Iwate,13.666335237650712,9.079947547462089
Kagawa,4.73915827637806,5.475714833468846
Kagoshima,12.880708990632868,10.884215257986243
Kanagawa,17.225980575242254,11.401896265317708
Kochi,4.6775570406568745,4.438644598670682
Kumamoto,14.776715788011279,11.97400436110302
Kyoto,12.117894349538245,8.704405240805514
Mie,14.669000999637356,12.265025404174805
Miyagi,9.455970098268383,7.690855451666836
Miyazaki,6.347591319804494,4.066774873960107
Nagano,13.86973296159929,5.943719213437791
Nagasaki,11.439058427177418,10.94162711410326
Nara,15.431848079039845,9.15361904083296
Niigata,10.382281452959582,8.416962020442531
Oita,8.877616255725687,6.965054460164946
Okayama,11.957772357975688,10.910224587421094
Okinawa,12.398712584077652,8.028928857826038
Osaka,41.71530363073652,31.380159736083304
Saga,8.668806875474205,7.001445769885631
Saitama,9.212655662739952,7.9762603574164315
Shiga,10.855075006332545,9.026121048425136
Shimane,8.525740964679029,7.937671761112968
Shizuoka,10.170147224595352,6.25025467491161
Tochigi,9.262254147793064,6.552567525852803
Tokushima,8.506750590192974,5.319616156714379
Tokyo,17.29709426038413,10.57245610012367
Tottori,7.379515853342442,5.112511542652449
Toyama,6.707641175432469,7.24142473970645
Wakayama,13.571218878885235,10.91973359395732
Yamagata,16.085684813856762,12.683571376141336
Yamaguchi,23.310796490105258,15.36507446760135
Yamanashi,5.2459213015851445,3.826015903546677
